Algorithm,Scenario,Perc,Chunk,Accuracy,Precision,Recall,F1_Macro,Kappa,Time_s,Predictions_OK
OSNN,chunks_scenario_1,50,4,0.5104166666666666,0.3163563344286236,0.4420401414072299,0.3660948130240054,0.1723270440251572,91.38286304473876,True
OSNN,chunks_scenario_1,50,5,0.5072115384615384,0.3181477267218196,0.4311988664929841,0.3595904346261921,0.1558128197069398,125.13781261444092,True
OSNN,chunks_scenario_1,50,6,0.503099173553719,0.3214637509850276,0.431205225453013,0.3619550991644014,0.151489969675764,142.08265233039856,True
OSNN,chunks_scenario_1,50,7,0.4932371505861136,0.3157771184832229,0.4206022227308563,0.3517796351559683,0.1327353586178491,171.97303366661072,True
OSNN,chunks_scenario_1,50,8,0.496344435418359,0.3174913419166292,0.4183776167471819,0.3501970587009957,0.1286497964961953,189.55975317955017,True
OSNN,chunks_scenario_1,50,9,0.4942363112391931,0.3225157281228802,0.4258994953770236,0.3577155619366674,0.1346164606326941,210.23891472816467,True
OSNN,chunks_scenario_1,75,1,0.4430379746835443,0.3414543524416136,0.4874023683547492,0.3657276745300601,0.2149757847983739,25.8177592754364,True
OSNN,chunks_scenario_1,75,10,0.5093437635810517,0.3412053303351263,0.4330093305963427,0.3671146126494825,0.1496913418609827,344.0071876049042,True
OSNN,chunks_scenario_1,75,2,0.4615384615384615,0.2941842900302114,0.4384615384615384,0.3515830574654104,0.1627742392073602,78.59365057945251,True
OSNN,chunks_scenario_1,75,3,0.5072655217965654,0.3080329355693478,0.4459562412208651,0.3637787411992869,0.175576285785194,125.76048517227171,True
OSNN,chunks_scenario_1,75,4,0.5024826216484608,0.3059771724124521,0.4237534202478674,0.3501279663198704,0.1470617572819965,150.43798971176147,True
OSNN,chunks_scenario_1,75,5,0.4939855653568564,0.3032902682821526,0.41109379894808,0.3404781813114237,0.1253227834241332,193.08056497573853,True
OSNN,chunks_scenario_1,75,6,0.5058580289455548,0.3217404965818909,0.4228600201409869,0.3541444701086351,0.1432704161166453,214.43102955818176,True
OSNN,chunks_scenario_1,75,7,0.4969915764139591,0.3183693676145955,0.4167067735729053,0.3481298358154805,0.1297044921848086,257.383421421051,True
OSNN,chunks_scenario_1,75,8,0.4989154013015184,0.3199207476551226,0.4136965622641332,0.3457367960382756,0.1240301309747324,278.7551808357239,True
OSNN,chunks_scenario_1,75,9,0.5016835016835017,0.3301767299768361,0.4250011307645281,0.3577018539752646,0.1377091026720944,300.7938220500946,True
SLEADE,chunks_scenario_1,75,1,0.7974683544303798,0.7799900447984071,0.7627658470795726,0.7660900886095018,0.6841842258682436,3.0826637744903564,True
SLEADE,chunks_scenario_1,75,10,0.8613646240764885,0.853522360442769,0.831363252296446,0.8380285128759944,0.7798492936464472,31.552176237106323,True
SLEADE,chunks_scenario_1,75,2,0.8224852071005917,0.816674326684438,0.8078402366863905,0.8111009624339225,0.7272091396595943,7.211742162704468,True
SLEADE,chunks_scenario_1,75,3,0.8388375165125496,0.8223493194978088,0.8089411854289038,0.8144995506728449,0.7421935627948524,10.518564462661743,True
SLEADE,chunks_scenario_1,75,4,0.8391261171797418,0.8226929667632845,0.809371494534267,0.8146344458764433,0.7437506086814467,13.950491189956663,True
SLEADE,chunks_scenario_1,75,5,0.8340016038492382,0.821348591116033,0.7977636903664503,0.8054823335566627,0.7343583896167514,17.136383056640625,True
SLEADE,chunks_scenario_1,75,6,0.8442453480358374,0.8346984969809896,0.8107052845856827,0.8182273829525424,0.7514629478750213,20.044264793396,True
SLEADE,chunks_scenario_1,75,7,0.8465703971119134,0.8355686598176987,0.813936147663556,0.820794986942925,0.7560033391865051,22.83278512954712,True
SLEADE,chunks_scenario_1,75,8,0.851409978308026,0.8401919466203666,0.817418572963549,0.8245004790088167,0.7629496455195083,25.17997574806213,True
SLEADE,chunks_scenario_1,75,9,0.8556998556998557,0.8469400782343147,0.8242654293731771,0.8311728326236594,0.7706680923460798,28.340810537338257,True
OSNN,chunks_scenario_1,75,1,0.4472573839662447,0.3484921786808579,0.4935752078609221,0.3699317114810072,0.2226395252760459,19.51538038253784,True
OSNN,chunks_scenario_1,75,10,0.4989135158626684,0.3216023283018336,0.4344684313548986,0.364462720532567,0.1498646796178601,279.9862792491913,True
OSNN,chunks_scenario_1,75,2,0.4694280078895463,0.3019997771836007,0.451602564102564,0.3618559411146162,0.1793006336540717,59.98609972000122,True
